Time (-),FRC-01 [kN],FRC-02 [kN]
2022-11-04 08:41:04.027,244.579140625,243.855546875
2022-11-04 08:41:04.037,244.642296875,243.88315625
2022-11-04 08:41:04.047,244.618609375,243.8724375
2022-11-04 08:41:04.057,244.63271875,243.8701875
2022-11-04 08:41:04.067,244.605640625,243.844828125
2022-11-04 08:41:04.077,244.607328125,243.898953125
2022-11-04 08:41:04.087,244.610140625,243.858359375
2022-11-04 08:41:04.097,244.611296875,243.888796875
2022-11-04 08:41:04.107,244.612984375,243.888796875
2022-11-04 08:41:04.117,244.627625,243.922625
2022-11-04 08:41:04.127,244.640046875,243.9254375
2022-11-04 08:41:04.137,244.627625,243.888796875
2022-11-04 08:41:04.147,244.617484375,243.898953125
2022-11-04 08:41:04.157,244.617484375,243.856671875
2022-11-04 08:41:04.167,244.6236875,243.88090625
2022-11-04 08:41:04.177,244.6270625,243.885984375
2022-11-04 08:41:04.187,244.590984375,243.88203125
2022-11-04 08:41:04.197,244.608453125,243.887671875
2022-11-04 08:41:04.207,244.63665625,243.890484375
2022-11-04 08:41:04.217,244.680078125,243.88428125
2022-11-04 08:41:04.227,244.5949375,243.861734375
2022-11-04 08:41:04.237,244.607890625,243.833
2022-11-04 08:41:04.247,244.6225625,243.8690625
2022-11-04 08:41:04.257,244.6490625,243.904578125
2022-11-04 08:41:04.267,244.6236875,243.845953125
2022-11-04 08:41:04.277,244.618609375,243.844265625
2022-11-04 08:41:04.287,244.5960625,243.848765625
2022-11-04 08:41:04.297,244.63496875,243.82453125
2022-11-04 08:41:04.307,244.63440625,243.849328125
2022-11-04 08:41:04.317,244.676109375,243.861171875
2022-11-04 08:41:04.327,244.616921875,243.8668125
2022-11-04 08:41:04.337,244.614671875,243.88203125
2022-11-04 08:41:04.347,244.5949375,243.896671875
2022-11-04 08:41:04.357,244.63834375,243.8724375
2022-11-04 08:41:04.367,244.669921875,243.844265625
2022-11-04 08:41:04.377,244.608453125,243.856109375
2022-11-04 08:41:04.387,244.578015625,243.858359375
2022-11-04 08:41:04.397,244.618609375,243.838625
2022-11-04 08:41:04.407,244.65075,243.848203125
2022-11-04 08:41:04.417,244.614109375,243.869625
2022-11-04 08:41:04.427,244.5949375,243.849890625
2022-11-04 08:41:04.437,244.651875,243.894421875
2022-11-04 08:41:04.447,244.65978125,243.8668125
2022-11-04 08:41:04.457,244.5949375,243.857796875
2022-11-04 08:41:04.467,244.6270625,243.852140625
2022-11-04 08:41:04.477,244.618609375,243.856109375
2022-11-04 08:41:04.487,244.601703125,243.853296875
2022-11-04 08:41:04.497,244.6203125,243.88371875
2022-11-04 08:41:04.507,244.611859375,243.853296875
2022-11-04 08:41:04.517,244.6225625,243.846515625
2022-11-04 08:41:04.527,244.616921875,243.87640625
